Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,Year,Month,Month_Name,Quarter,Day_Name,Revenue,Total_Cost,Profit,Profit_Margin,Inventory_Value,Forecast_Error,Absolute_Forecast_Error,Inventory_Status,Days_of_Inventory,Inventory_Risk
2024-01-01,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,2024,1,January,1,Monday,204.8,139.5,65.30000000000001,31.884765625000007,8258.4,1.4800000000000004,1.4800000000000004,Healthy,69.48356807511738,Low Risk
2024-01-02,SKU_1,WH_1,SUP_8,West,17,575,14,379,0,13.95,20.48,0,0,18.63,2024,1,January,1,Tuesday,348.16,237.14999999999998,111.01000000000005,31.88476562500001,8021.25,-1.629999999999999,1.629999999999999,Healthy,30.8641975308642,Low Risk
2024-01-03,SKU_1,WH_1,SUP_8,North,35,540,14,379,0,13.95,20.48,1,0,39.62,2024,1,January,1,Wednesday,716.8000000000001,488.25,228.55000000000007,31.884765625000007,7533.0,-4.619999999999997,4.619999999999997,Healthy,13.629480060575467,High Risk
2024-01-04,SKU_1,WH_1,SUP_8,South,24,516,14,379,0,13.95,20.48,0,0,19.43,2024,1,January,1,Thursday,491.52,334.79999999999995,156.72000000000003,31.884765625000007,7198.2,4.57,4.57,Healthy,26.55687081832218,Medium Risk
2024-01-05,SKU_1,WH_1,SUP_8,West,21,495,14,379,0,13.95,20.48,0,0,18.7,2024,1,January,1,Friday,430.08,292.95,137.13,31.884765625,6905.25,2.3000000000000007,2.3000000000000007,Healthy,26.47058823529412,Medium Risk
2024-01-06,SKU_1,WH_1,SUP_8,East,18,477,14,379,0,13.95,20.48,0,0,18.33,2024,1,January,1,Saturday,368.64,251.1,117.53999999999999,31.884765625,6654.15,-0.3299999999999983,0.3299999999999983,Healthy,26.022913256955814,Medium Risk
2024-01-07,SKU_1,WH_1,SUP_8,North,19,458,14,379,0,13.95,20.48,0,0,18.91,2024,1,January,1,Sunday,389.12,265.05,124.07,31.884765625,6389.099999999999,0.08999999999999986,0.08999999999999986,Healthy,24.219989423585403,Medium Risk
2024-01-08,SKU_1,WH_1,SUP_8,North,23,435,14,379,0,13.95,20.48,1,0,25.84,2024,1,January,1,Monday,471.04,320.84999999999997,150.19000000000005,31.88476562500001,6068.25,-2.84,2.84,Healthy,16.8343653250774,Medium Risk
2024-01-09,SKU_1,WH_1,SUP_8,West,25,410,14,379,0,13.95,20.48,0,0,21.7,2024,1,January,1,Tuesday,512.0,348.75,163.25,31.884765625,5719.5,3.3000000000000007,3.3000000000000007,Healthy,18.89400921658986,Medium Risk
2024-01-10,SKU_1,WH_1,SUP_8,South,25,385,14,379,0,13.95,20.48,0,0,21.34,2024,1,January,1,Wednesday,512.0,348.75,163.25,31.884765625,5370.75,3.66,3.66,Healthy,18.04123711340206,Medium Risk
2024-01-11,SKU_1,WH_1,SUP_8,North,23,362,14,379,0,13.95,20.48,0,0,18.82,2024,1,January,1,Thursday,471.04,320.84999999999997,150.19000000000005,31.88476562500001,5049.9,4.18,4.18,Reorder Required,19.234856535600425,Medium Risk
